Zeit,IQR,IQK,Skew,Breite,lBreite,rBreite,,Drift,xs,xe,ys,ye
"10,5",10,"0,6",,"1,9","0,6","1,3",,"20,27",0,87,994,1035
"12,0",6,"-0,3333333333",,"2,2","2,1",1,,"22,55",3,1430,1096,1156
"12,4",7,"0,1428571429",1,"3,7",2,"1,7",,"21,17",83,1460,1038,1080
"13,0",10,"0,4",,"3,9","1,7","2,2",,"19,4",203,1404,925,1006
"28,9",3,"-0,3333333333",,"3,5",2,"1,5",,"25,75",470,1490,1266,1314
"29,0",5,"0,2","-0,1","3,2",2,"1,2",,"20,45",0,450,1003,1044
"30,0",4,0,,"3,4","1,5","1,9",,"22,76",3,1465,1100,1176
"31,0",4,0,,"3,5",2,"1,5",,"21,31",77,1474,1042,1089
"50,5",12,"0,3333333333",,"4,6",2,"2,3",,"25,94",52,1482,1242,1347
"52,9",11,"0,4545454545",,"4,7","1,7",3,,"20,65",3,164,1016,1050
"53,0",13,"0,2307692308","1,75","6,9",2,"4,9",,"19,85",77,170,988,1018
"58,0",21,"0,4285714286",,"8,1","1,9","6,2",,"21,3",30,160,1044,1084
"94,0",22,"0,2727272727","1,12","7,6",3,"4,6",,"20,1",72,420,959,1068
"159,0",20,"0,1","0,27",9,"4,7","4,3",,"21,8",209,688,1056,1105
"170,0",39,"0,4358974359",,"12,4","5,1","7,3",,"19,76",240,903,960,1016
"172,4",21,"0,2380952381","0,66",8,"3,4",8,,"21,03",20,140,1040,1066
"179,0",34,"0,3529411765",,"14,3","4,4","9,9",,"21,66",52,136,1059,1106
"228,7",48,"0,2916666667","0,88","13,6",6,"7,6",,"20,22",52,174,978,1035
"236,2",19,"0,0526315789","0,27","13,3","6,1","7,2",,"23,39",19,1464,1145,1198
"244,0",43,"0,3953488372",,"18,3","8,7","9,6",,"30,98",4,188,1486,1602
"333,9",38,"0,2105263158","1,52",25,"9,7","15,3",,"21,95",317,1466,1076,1121
"343,5",35,"0,2",,"22,5","10,5",12,,"20,12",455,1484,965,1042
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,*,,,,,
